product_id,product_name,product_description,category,manufacture,product_type,amount,price
11,"ASUS ROG STRIX G35CA-WB7830W","ASUS ROG STRIX I7 13700KF 32GB 512GB SSD 2TB HDD RTX 3080 WIN 11 HOME 750W",Desktops,ASUS,Devices,19,2970.53
12,"ASUS G35DX-21202W","ASUS ROG STRIX GA35 AMD R9 5900X 32GB 1TB SSD + 1TB HDD RTX3080 LHR 750W GOLD WIN 11 HOME",Desktops,ASUS,Devices,18,2727.99
13,"ASUS G22CH-7720W","ASUS ROG G22CH - I7 13700KF 16GB 1TB SSD+512GB SSD RTX3070 WIN 11 HOME",Desktops,ASUS,Devices,39,2385.36
14,"ASUS G15CF-WB7822","ASUS ROG TRIX I7 12700F 16G RTX3080 512GB SSD + 1TB HDD 750W",Desktops,ASUS,Devices,43,2002.55
15,"ASUS G15CF-WB7636","ASUS ROG STRIX GT15 - I7 12700F 32GB 1TB SSD RTX3060TI 700W BLACK",Desktops,ASUS,Devices,11,1890.33
16,"ASUS G15CF-WB5720W","ASUS ROG STRIX I5 12400F 16G RTX3070 512GB SSD + 1TB HDD 700W WIN 11 HOME",Desktops,ASUS,Devices,41,1642.57
17,"ASUS G15DK-21302","ASUS AMD R5 5600X 16GB 1TB SSD RTX3070 LHR 750W",Desktops,ASUS,Devices,18,1439.78
18,"ASUS G15DK-WB7620","ASUS ROG STRIX AMD R7 5800X 16G RTX3060 512GB SSD + 1 TB HDD WI-FI 5; BT 4.2 500W",Desktops,ASUS,Devices,7,1336.49
20,"Dell OptiPlex 7060 SFF","Dell OptiPlex 7060 SFF  Intel Core i7-8700 8GB DDR4 2666MHz 1TB HDD Windows 10 Pro",Desktops,DELL,Devices,43,1405
23,"LENOVO LEGION T5 26/90RC01B5RM","LENOVO R9-5 32GB 1TB SSD RTX3070TI",Desktops,LENOVO,Devices,36,2160.34
24,"LENOVO V520 TWR","LENOVO V520 TWR INTEL CORE I7-7700 8GB 1TB WIN10-PRO",Desktops,LENOVO,Devices,23,1773
25,"LENOVO LEGION T5 26/90RC01B6RM","LENOVO R7-5 32GB 512SSD RTX3070",Desktops,LENOVO,Devices,50,1530.25
26,"ACER AN517-42-R8SQ NITRO 5","ACER NITRO 5 RYZEN 5 8GB RTX3050TI 512GB SSD 17.3 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,13,1034.86
27,"ACER AN515-57-74E6 NITRO 5","ACER NITRO 5 I7-11 8G RTX3060 512GB SSD 15.6 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,3,989.89
28,"ASUS G513RM-LN397","ASUS ROG STRIX - AMD R7 6800H 16GB 1TB_SSD RTX3060 15.6" WQHD 240HZ RGB KB GRAY",NOTEBOOK,ASUS,Devices,13,1512.09
29,"ASUS B5602CBN-OLED-UI74D0X","ASUS EXPERTBOOK B5 - I7 1260P 24GB 1TB_SSD ARC A350M 16" OLED WQUXGA GLOSSY WIN 11 PRO BLACK BACKL",NOTEBOOK,ASUS,Devices,29,1503.07
30,"DELL XPS15 (9560)","XPS15  (9560) 7th Generation Intel(R) Core(TM) i7-7700HQ 15.6Windows 10  32GB 1TB SSD",NOTEBOOK,DELL,Devices,18,1435
34,"LENOVO CREATOR 5 / 82L6000EBM","LENOVO R9 32G RTX3050 1TB SSD 16 FHD IPS GRAY KBLIGHT",NOTEBOOK,LENOVO,Devices,46,1439.96
35,"LENOVO YOGA 7 14 / 82QF003QBM","LENOVO R7-6 32G INT 1TB SSD 14" 2.8K OLED IPS GL WIN11 HOME GRAY TOUCH",NOTEBOOK,LENOVO,Devices,19,1439.82
36,"MSI SUMMIT E14 FLIP A12MT 093","MSI I7-12 16G INT 1TB SSD 14 QWXGA+ WIN11 HOME M2 PCIE BLACK THIN BACKLIT TOUCH",NOTEBOOK,MSI,Devices,22,1305.01
37,"MSI KATANA 17 B12VFK-204BG","MSI I7-12 16G RTX4060 512GB SSD 17.3 FHD 144HZ M2 PCIE BLACK BACKLIT",NOTEBOOK,MSI,Devices,26,1285.05
