invoice_id,employee_id,customer_id,payment_method,transaction_moment,status
20220905101747,40,NULL,3,"2022-09-05 10:17:47",3
20220918103356,20,NULL,1,"2022-09-18 10:33:56",3
20221002095538,24,NULL,2,"2022-10-02 09:55:38",1
20221018144516,33,NULL,2,"2022-10-18 14:45:16",4
20221110101127,30,NULL,1,"2022-11-10 10:11:27",3
20221128112837,34,NULL,3,"2022-11-28 11:28:37",4
20221206114818,43,NULL,1,"2022-12-06 11:48:18",4
20221226084017,42,NULL,2,"2022-12-26 08:40:17",3
20230103103555,30,NULL,1,"2023-01-03 10:35:55",4
20230113110653,36,NULL,2,"2023-01-13 11:06:53",3
20230216131850,32,NULL,2,"2023-02-16 13:18:50",1
20230228153809,28,NULL,3,"2023-02-28 15:38:09",4
