invoice_id,employee_id,customer_id,payment_method,transaction_moment,status
20220902081028,24,73,1,"2022-09-02 08:10:28",2
20220903091341,26,69,3,"2022-09-03 09:13:41",3
20220904085624,34,94,2,"2022-09-04 08:56:24",4
20220905101747,40,NULL,3,"2022-09-05 10:17:47",3
20220906092712,22,91,3,"2022-09-06 09:27:12",2
20220907093931,41,29,1,"2022-09-07 09:39:31",2
20220908082145,46,78,1,"2022-09-08 08:21:45",1
20220909092219,28,62,1,"2022-09-09 09:22:19",2
20220910093446,39,91,2,"2022-09-10 09:34:46",4
20220911110411,21,89,1,"2022-09-11 11:04:11",2
20220912081145,24,49,2,"2022-09-12 08:11:45",4
20220913081549,41,75,2,"2022-09-13 08:15:49",3
20220914092546,30,13,1,"2022-09-14 09:25:46",4
20220915081136,32,90,1,"2022-09-15 08:11:36",3
20220916080537,32,5,2,"2022-09-16 08:05:37",4
20220918103356,20,NULL,1,"2022-09-18 10:33:56",3
20220919105726,23,97,2,"2022-09-19 10:57:26",4
20220920153633,37,37,1,"2022-09-20 15:36:33",4
20220921095638,30,92,1,"2022-09-21 09:56:38",2
20220922155604,29,75,2,"2022-09-22 15:56:04",1
20220923092352,30,15,2,"2022-09-23 09:23:52",2
20220924092429,40,58,1,"2022-09-24 09:24:29",1
20220925100217,24,86,2,"2022-09-25 10:02:17",3
20220926083546,31,87,2,"2022-09-26 08:35:46",2
20220927115121,36,74,3,"2022-09-27 11:51:21",2
20220928080404,42,33,1,"2022-09-28 08:04:04",1
20220929105613,34,62,3,"2022-09-29 10:56:13",4
20220930094807,41,5,3,"2022-09-30 09:48:07",4
20221001134721,38,36,3,"2022-10-01 13:47:21",2
20221002095538,24,NULL,2,"2022-10-02 09:55:38",1
20221003105755,21,7,1,"2022-10-03 10:57:55",1
20221004080619,34,92,1,"2022-10-04 08:06:19",4
20221005080305,31,5,1,"2022-10-05 08:03:05",4
20221006093945,30,31,3,"2022-10-06 09:39:45",4
20221007100219,33,23,2,"2022-10-07 10:02:19",3
20221008154504,21,35,3,"2022-10-08 15:45:04",3
20221009101650,26,28,2,"2022-10-09 10:16:50",1
20221010140111,30,43,2,"2022-10-10 14:01:11",2
20221011081948,32,28,3,"2022-10-11 08:19:48",4
20221012104850,21,26,2,"2022-10-12 10:48:50",4
20221013093549,27,9,2,"2022-10-13 09:35:49",1
20221014112444,20,71,3,"2022-10-14 11:24:44",2
20221016101556,34,99,3,"2022-10-16 10:15:56",2
20221017122555,45,54,3,"2022-10-17 12:25:55",4
20221018144516,33,NULL,2,"2022-10-18 14:45:16",4
