product_id,product_name,product_description,category,manufacture,product_type,amount,price
1,"ASUS M3700WUAK-BA045W AIO","ASUS AIO PCS - AMD R7 5700U 16G INT 512GB SSD + 1TB HDD 27" FHD WIN 11 HOME BLACK",AIOs,ASUS,Devices,46,967.37
2,"ASUS E5402WHAK-DUO204X","ASUS EXPERT CENTER E5 AIO 24 - I5 11500B 8G INT 512GB SSD DVD 23.8 FHD + KB + MOUSE WIN 11 PRO",AIOs,ASUS,Devices,38,944.85
3,"ASUS A5401WRAK-BA022T AIO","ASUS ZEN AIO 24 I5-10 8G INT 512GB SSD WIN 10 HOME EXT DVD",AIOs,ASUS,Devices,35,741.45
4,"Dell XPS 27 7760","Dell XPS 27 7760 i7-7700 27-inch 4K Ultra HD Touch, 16GB DDR4 2133MHz, 512GB SSD, Windows 10 Pro",AIOs,DELL,Devices,41,2068
5,"DELL OPTIPLEX 7460 AIO","DELL OPTIPLEX 7460 AIO INTEL CORE I7-8700 8GB 1TB NON-TOUCH 23.8Windows 10  WIN10-PRO",AIOs,DELL,Devices,42,1757
6,"HP PROONE 600 G3 AIO","HP PROONE 600 G3 AIO INTEL CORE I5-7500 4GB 500GB NON-TOUCH 21.5Windows 10  WIN10-PRO",AIOs,HP,Devices,37,1611
7,"HP 400 G4","HP 400 G4 AiO Intel Core i3-8100T 4GB 500GB NON-TOUCH 20Windows 10  WIN10-PRO",AIOs,HP,Devices,43,1193
8,"LENOVO V530 AIO","LENOVO V530 AIO INTEL CORE I7-8700T 8GB 1TB NON-TOUCH 23.8  WIN10-PRO",AIOs,LENOVO,Devices,9,1089
9,"LENOVO IC AIO 3 27 /F0FY0067RI","LENOVO AIO 27" R7-5 8G INT 512GB SSD M2 HDMI IPS AG COMBO BLACK",AIOs,LENOVO,Devices,10,742.2
10,"LENOVO IC AIO 3 24 /F0G0006JRI","LENOVO AIO 24" I5-11 8G INT 512GB SSD M2 HDMI IPS AG COMBO BLACK",AIOs,LENOVO,Devices,46,688.3
11,"ASUS ROG STRIX G35CA-WB7830W","ASUS ROG STRIX I7 13700KF 32GB 512GB SSD 2TB HDD RTX 3080 WIN 11 HOME 750W",Desktops,ASUS,Devices,19,2970.53
